"abstract","web_url","snippet","lead_paragraph","print_section","print_page","source","pub_date","document_type","news_desk","section_name","subsection_name","type_of_material","_id","word_count","uri","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","byline.original","byline.organization"
"Latino voters could determine who will be the next president. Donald Trump might have jeopardized his chances with them.","https://www.nytimes.com/2024/11/01/opinion/donald-trump-latino-voters.html","Latino voters could determine who will be the next president. Donald Trump might have jeopardized his chances with them.","Republicans’ growing support among Latinos is no longer guaranteed after a comedian made a racist joke at Donald Trump’s Madison Square Garden rally. But could it cost Trump the election? Isvett Verde, a Times Opinion editor, speaks with Mike Madrid, a Republican and an expert on Latino voting trends and behaviors, about why the election may hinge on each candidate’s ability to sway Latino voters.",NA,NA,"The New York Times","2024-11-01T09:05:30+0000","article","OpEd","Opinion",NA,"Op-Ed","nyt://article/eb448712-8c54-5cf1-9260-54f65afe0154",2527,"nyt://article/eb448712-8c54-5cf1-9260-54f65afe0154","Did Trump Just Lose His Crucial Latino Support?",NA,NA,"",NA,NA,NA,"By Isvett Verde and Sophia Alvarez Boyd",NA
"Gen Z men are increasingly turning away from the Democratic Party, swayed by the former president’s bravado and irreverence. But they also do not usually vote in high numbers.","https://www.nytimes.com/2024/11/01/us/politics/donald-trump-young-men.html","Gen Z men are increasingly turning away from the Democratic Party, swayed by the former president’s bravado and irreverence. But they also do not usually vote in high numbers.","Back in June, former President Donald J. Trump appeared on a podcast interview with Logan Paul, the wrestler and social media star. They chatted about immigration and the economy, but also about boxing and the existence of aliens — which Mr. Trump described as “very possible.”",NA,NA,"The New York Times","2024-11-01T16:20:50+0000","article","Politics","U.S.","Politics","News","nyt://article/45287845-7602-53f2-8b5b-f790b1d8d252",1782,"nyt://article/45287845-7602-53f2-8b5b-f790b1d8d252","Trump Is Courting Apolitical Young Men. Will It Pay Off?",NA,NA,"",NA,NA,NA,"By Kellen Browning, Benjamin Oreskes and Eduardo Medina",NA
"Young men in recent years have become more politically conservative. But will they vote? Kellen Browning, a New York Times reporter covering the 2024 election with a focus on Nevada and Arizona, discusses the Trump campaign’s efforts to court the group.","https://www.nytimes.com/video/us/elections/100000009788528/how-trump-is-trying-to-win-gen-z-men.html","Young men in recent years have become more politically conservative. But will they vote? Kellen Browning, a New York Times reporter covering the 2024 election with a focus on Nevada and Arizona, discusses the Trump campaign’s efforts to court the ...","Young men in recent years have become more politically conservative. But will they vote? Kellen Browning, a New York Times reporter covering the 2024 election with a focus on Nevada and Arizona, discusses the Trump campaign’s efforts to court the group.",NA,NA,"The New York Times","2024-11-01T16:21:46+0000","multimedia","","U.S.","Elections","Video","nyt://video/112f9c49-ab46-52c8-9cde-633030b60bd5",0,"nyt://video/112f9c49-ab46-52c8-9cde-633030b60bd5","How Trump Is Trying to Win Gen Z Men",NA,NA,"",NA,NA,NA,"By Kellen Browning, Christina Shaman and Stephanie Rose",NA
"Republicans believe a strong Donald Trump victory would ensure that Gov. Joe Lombardo could keep overriding Democratic priorities. But Mr. Lombardo is operating outside the state party, and largely away from Mr. Trump.","https://www.nytimes.com/2024/11/01/us/politics/lombardo-nevada-governor-trump.html","Republicans believe a strong Donald Trump victory would ensure that Gov. Joe Lombardo could keep overriding Democratic priorities. But Mr. Lombardo is operating outside the state party, and largely away from Mr. Trump.","Joe Lombardo, Nevada’s Republican governor, is doing just about everything he can to stop Democrats from gaining the ability to sharply curtail his power this November.",NA,NA,"The New York Times","2024-11-01T16:48:23+0000","article","Politics","U.S.","Politics","News","nyt://article/03ca8b8a-13e2-58c4-a31d-9bb07ac14f10",1349,"nyt://article/03ca8b8a-13e2-58c4-a31d-9bb07ac14f10","Veto Power in the Balance, Nevada’s G.O.P. Governor Keeps Trump at Arm’s Length",NA,NA,"",NA,NA,NA,"By Benjamin Oreskes",NA
"The debate over the meaning of President Biden’s words comes down to an apostrophe, which the White House press office inserted into the transcript without the approval of official stenographers.","https://www.nytimes.com/2024/11/01/us/politics/biden-garbage-transcript.html","The debate over the meaning of President Biden’s words comes down to an apostrophe, which the White House press office inserted into the transcript without the approval of official stenographers.","The White House altered the official transcript of President Biden’s remarks this week about the Trump campaign and “garbage” as it rushed to clarify that the president’s words had been taken out of context, people familiar with the matter said on Friday.","A","20","The New York Times","2024-11-01T18:19:30+0000","article","Washington","U.S.","Politics","News","nyt://article/4f75e860-65d4-52fc-9d4d-b88ab8b1ea84",585,"nyt://article/4f75e860-65d4-52fc-9d4d-b88ab8b1ea84","White House Altered Official Transcript of Biden’s Remarks on Trump and ‘Garbage’",NA,NA,"White House  Alters Record Of Verbal Slip By President",NA,NA,NA,"By Zolan Kanno-Youngs",NA
"A new paper undermines the historical narrative at the heart of his love of tariffs.","https://www.nytimes.com/2024/11/01/opinion/trump-tariffs-manufacturing.html","A new paper undermines the historical narrative at the heart of his love of tariffs.","Tariffs made America great, Donald Trump likes to argue. Is it true?",NA,NA,"The New York Times","2024-11-01T20:09:45+0000","article","OpEd","Opinion",NA,"Op-Ed","nyt://article/38d4f3ae-8f5a-5d3d-90f3-fb0ee17916a4",1056,"nyt://article/38d4f3ae-8f5a-5d3d-90f3-fb0ee17916a4","Trump’s Economic Vision Has a Lot of Flaws. Here’s Another.","Peter Coy",NA,"",NA,NA,NA,"By Peter Coy",NA
"Also, the U.S. fears Ukraine has entered a grim phase. Here’s the latest at the end of Friday.","https://www.nytimes.com/2024/11/01/briefing/final-weekend-campaign-us-ukraine-russia.html","Also, the U.S. fears Ukraine has entered a grim phase. Here’s the latest at the end of Friday.","Donald Trump and Kamala Harris headed into the final weekend of what appears to be an extremely tight race by holding events across the Midwestern battleground states. They also waged national media campaigns to try to win over small but crucial groups of voters who have yet to make up their minds.",NA,NA,"The New York Times","2024-11-01T21:05:36+0000","article","NYTNow","Briefing",NA,"News","nyt://article/d624c145-b421-5afd-98f3-032f8fdb6201",1258,"nyt://article/d624c145-b421-5afd-98f3-032f8fdb6201","With Days to Go, Trump Courts Apolitical Young Men",NA,NA,"",NA,NA,NA,"By Matthew Cullen",NA
"The presidential rivals campaigned in the battleground state’s largest city after Donald Trump tried to slightly soften his violent remarks about Liz Cheney, which Kamala Harris called “disqualifying.”","https://www.nytimes.com/2024/11/01/us/politics/liz-cheney-trump-harris.html","The presidential rivals campaigned in the battleground state’s largest city after Donald Trump tried to slightly soften his violent remarks about Liz Cheney, which Kamala Harris called “disqualifying.”","Vice President Kamala Harris and former President Donald J. Trump converged on Milwaukee on Friday night during their final scheduled visits to Wisconsin, a battleground state where neither of them has a lead and which is considered particularly essential to a Harris victory.","A","14","The New York Times","2024-11-01T21:33:06+0000","article","Politics","U.S.","Politics","News","nyt://article/a49ceb71-6319-50c6-860f-17084fff4b44",1473,"nyt://article/a49ceb71-6319-50c6-860f-17084fff4b44","Harris and Trump Rally in Milwaukee as They Make Final Wisconsin Push",NA,NA,"Harris Calls Trump’s Violent Language About Cheney and Rifles ‘Disqualifying’",NA,NA,NA,"By Reid J. Epstein, Michael Gold and Adam Nagourney",NA
"The countdown to the election feels like an Advent calendar with a dubious remark behind each door.","https://www.nytimes.com/2024/11/01/us/politics/harris-trump-womens-health-election.html","The countdown to the election feels like an Advent calendar with a dubious remark behind each door.","Vice President Kamala Harris almost never talks about what it would mean to elect a female president, nor does she speculate about why women disproportionately support her candidacy.",NA,NA,"The New York Times","2024-11-01T22:58:13+0000","article","Politics","U.S.","Politics","News","nyt://article/d2bfc63e-824e-59f1-97f5-9706d2f4899a",1460,"nyt://article/d2bfc63e-824e-59f1-97f5-9706d2f4899a","Trump Still Can’t Stop Talking About Women",NA,NA,"",NA,NA,NA,"By Jess Bidgood",NA
"Ms. Wallace, who served as the communications director in the Bush White House, made the appeal on her MSNBC program.","https://www.nytimes.com/2024/11/01/us/politics/george-w-bush-nicole-wallace-2024-election.html","Ms. Wallace, who served as the communications director in the Bush White House, made the appeal on her MSNBC program.","Nicolle Wallace, who was a White House communications director in George W. Bush’s administration, called on Friday for Mr. Bush to have a late-hour “change of heart” and speak out against former President Donald J. Trump.",NA,NA,"The New York Times","2024-11-02T00:05:37+0000","article","Politics","U.S.","Politics","News","nyt://article/4a3bc7ef-7cf4-59c8-b766-5e045595ddf4",488,"nyt://article/4a3bc7ef-7cf4-59c8-b766-5e045595ddf4","Nicolle Wallace Calls on Her Former Boss, George W. Bush, to Denounce Trump",NA,NA,"",NA,NA,NA,"By Tim Balk",NA
